,category_list,main_sector
433,Mechanical Solutions,Cleantech / Semiconductors
434,Media,Entertainment
435,Medical,Health
436,Medical Devices,Health
437,Medical Professionals,Health
438,Meeting Software,"News, Search and Messaging"
439,Mens Specific,Health
440,Messaging,"News, Search and Messaging"
441,mHealth,Health
442,Micro-Enterprises,Others
443,MicroBlogging,"News, Search and Messaging"
444,Minerals,Cleantech / Semiconductors
445,Mining Technologies,Cleantech / Semiconductors
446,Mobile,"News, Search and Messaging"
447,Mobile Advertising,"Social, Finance, Analytics, Advertising"
448,Mobile Analytics,"Social, Finance, Analytics, Advertising"
449,Mobile Commerce,"Social, Finance, Analytics, Advertising"
450,Mobile Devices,"News, Search and Messaging"
451,Mobile Enterprise,"News, Search and Messaging"
452,Mobile Games,Entertainment
453,Mobile Health,Health
454,Mobile Infrastructure,Manufacturing
455,Mobile Payments,"Social, Finance, Analytics, Advertising"
456,Mobile Security,Others
457,Mobile Shopping,"Social, Finance, Analytics, Advertising"
458,Mobile Social,"News, Search and Messaging"
459,Mobile Software Tools,Manufacturing
460,Mobile Video,Entertainment
461,Mobility,Others
462,Monetization,"Social, Finance, Analytics, Advertising"
463,Moneymaking,"Social, Finance, Analytics, Advertising"
464,Multi-level Marketing,"Social, Finance, Analytics, Advertising"
465,Music,Entertainment
466,Music Education,Entertainment
467,Music Services,Entertainment
468,Music Venues,Entertainment
469,Musical Instruments,Entertainment
470,Musicians,Entertainment
471,nanotechnology,Cleantech / Semiconductors
472,natural Language Processing,Cleantech / Semiconductors
473,natural Resources,Cleantech / Semiconductors
474,navigation,"News, Search and Messaging"
475,Network Security,Others
476,Networking,Others
477,Neuroscience,Health
478,New Product Development,Manufacturing
479,New Technologies,Manufacturing
480,News,"News, Search and Messaging"
481,Non-Tech,Others
482,Non Profit,Others
483,Nonprofits,Others
484,Nutrition,Health
485,Office Space,Others
486,Oil,Others
487,Oil & Gas,Others
488,Oil and Gas,Others
489,Online Dating,"News, Search and Messaging"
490,Online Education,Others
491,Online Gaming,Entertainment
492,Online Identity,Others
493,Online Rental,"News, Search and Messaging"
494,Online Reservations,"News, Search and Messaging"
495,Online Scheduling,"News, Search and Messaging"
496,Online Shopping,"News, Search and Messaging"
497,Online Travel,"News, Search and Messaging"
498,Online Video Advertising,Entertainment
499,Open Source,Others
500,Opinions,Others
501,Optical Communications,Manufacturing
502,Optimization,Others
503,Organic,Health
504,Organic Food,Health
505,Outdoors,Health
506,Outsourcing,Others
507,P2P Money Transfer,"Social, Finance, Analytics, Advertising"
508,PaaS,"Social, Finance, Analytics, Advertising"
509,Parenting,Others
510,Parking,Others
511,Payments,"Social, Finance, Analytics, Advertising"
512,Peer-to-Peer,"News, Search and Messaging"
513,Performance Marketing,"Social, Finance, Analytics, Advertising"
514,Personal Branding,"Social, Finance, Analytics, Advertising"
515,Personal Data,Others
516,Personal Finance,"Social, Finance, Analytics, Advertising"
517,Personal Health,Health
518,Personalization,Others
519,Pervasive Computing,Others
520,Pets,Health
521,Pharmaceuticals,Health
522,Photo Editing,Entertainment
523,Photo Sharing,Entertainment
524,Photography,Entertainment
525,Physical Security,Others
526,Physicians,Health
527,Plumbers,Others
528,Point of Sale,Others
529,Politics,Others
530,Polling,Others
531,Portals,Others
532,Postal and Courier Services,Others
533,Pre Seed,"Social, Finance, Analytics, Advertising"
534,Predictive Analytics,"Social, Finance, Analytics, Advertising"
535,Presentations,Others
536,Price Comparison,"Social, Finance, Analytics, Advertising"
537,Printing,Others
538,Privacy,Others
539,Private School,Others
540,Private Social Networking,"News, Search and Messaging"
541,Procurement,Others
542,Product Design,Others
543,Product Development Services,Others
544,Productivity,Others
545,Productivity Software,Others
546,Professional Networking,"News, Search and Messaging"
547,Professional Services,Others
548,Project Management,Others
549,Promotional,"Social, Finance, Analytics, Advertising"
550,Property Management,"Social, Finance, Analytics, Advertising"
551,Public Relations,"Social, Finance, Analytics, Advertising"
552,Public Safety,Health
553,Public Transportation,Health
554,Publishing,"News, Search and Messaging"
555,Q&A,"News, Search and Messaging"
556,QR Codes,Others
557,Real Estate,Others
558,Real Time,Others
559,Realtors,Others
560,Recreation,Others
561,Recruiting,"News, Search and Messaging"
562,Recycling,Cleantech / Semiconductors
563,Religion,Others
564,Renewable Energies,Cleantech / Semiconductors
565,Renewable Tech,Cleantech / Semiconductors
566,Rental Housing,Others
567,Reputation,Others
568,Resorts,Entertainment
569,Restaurants,Entertainment
570,Retail,"Social, Finance, Analytics, Advertising"
571,Retail Technology,"Social, Finance, Analytics, Advertising"
572,Reviews and Recommendations,Entertainment
573,RFID,Others
574,Ride Sharing,"News, Search and Messaging"
575,Risk Management,"Social, Finance, Analytics, Advertising"
576,Robotics,Others
577,SaaS,Others
578,Sales and Marketing,"Social, Finance, Analytics, Advertising"
579,Sales Automation,Others
580,Search,"News, Search and Messaging"
581,Search Marketing,"News, Search and Messaging"
582,Security,Others
583,Semiconductor Manufacturing Equipment,Cleantech / Semiconductors
584,Semiconductors,Cleantech / Semiconductors
585,Senior Citizens,Health
586,Senior Health,Health
587,Sensors,Others
588,SEO,"News, Search and Messaging"
589,Service Industries,Others
590,Service Providers,Others
591,Services,Others
592,SexTech,Health
593,Shared Services,Others
594,Shipping,Others
595,Shoes,Entertainment
596,Shopping,Entertainment
597,Simulation,Others
598,Skill Assessment,Others
599,Small and Medium Businesses,Others
600,Smart Grid,Others
601,SNS,Others
602,Soccer,Automotive & Sports
603,Social + Mobile + Local,"Social, Finance, Analytics, Advertising"
604,Social Bookmarking,"Social, Finance, Analytics, Advertising"
605,Social Business,"Social, Finance, Analytics, Advertising"
606,Social Buying,"Social, Finance, Analytics, Advertising"
607,Social Commerce,"Social, Finance, Analytics, Advertising"
608,Social CRM,"Social, Finance, Analytics, Advertising"
609,Social Fundraising,"Social, Finance, Analytics, Advertising"
610,Social Games,"Social, Finance, Analytics, Advertising"
611,Social Media,"Social, Finance, Analytics, Advertising"
612,Social Media Management,"Social, Finance, Analytics, Advertising"
613,Social Media Marketing,"Social, Finance, Analytics, Advertising"
614,Social Media Platforms,"Social, Finance, Analytics, Advertising"
615,Social Network Media,"Social, Finance, Analytics, Advertising"
616,Social News,"Social, Finance, Analytics, Advertising"
617,Social Recruiting,"Social, Finance, Analytics, Advertising"
618,Social Television,"Social, Finance, Analytics, Advertising"
619,Social Travel,"Social, Finance, Analytics, Advertising"
620,Software,Others
621,Solar,Cleantech / Semiconductors
622,Space Travel,Cleantech / Semiconductors
623,Specialty Chemicals,Health
624,Specialty Foods,Health
625,Speech Recognition,Health
626,Sporting Goods,Automotive & Sports
627,Sports,Automotive & Sports
628,Staffing Firms,Others
629,Startups,Others
630,Stock Exchanges,"Social, Finance, Analytics, Advertising"
631,Storage,Manufacturing
632,Subscription Service,Others
633,Supply Chain Management,Others
634,Surveys,Others
635,Synchronization,Others
636,Systems,Others
637,Task Management,Others
638,Taxis,Others
639,Tea,Others
640,Technology,Others
641,Telecommunications,Others
642,Television,Entertainment
643,Textiles,Others
644,Theatre,Entertainment
645,Therapeutics,Health
646,Ticketing,Entertainment
647,Tourism,Entertainment
648,Tracking,Others
649,Trading,Others
650,Training,Others
651,Translation,Others
652,Transportation,Automotive & Sports
653,Travel,Entertainment
654,Travel & Tourism,Entertainment
655,Universities,Others
656,University Students,Others
657,Unmanned Air Systems,Automotive & Sports
658,Usability,Others
659,User Experience Design,Others
